epoch,data_y_loss,label_graph_loss,total_loss,TN_y,FP_y,FN_y,TP_y,TN_ego,FP_ego,FN_ego,TP_ego
0,0.15406135452612665,0.03229998847132265,0.186361342554784,10410246.0,8315.0,372902.0,99.0,1007523.0,14177.0,14269.0,219.0
1,0.15398489462055323,0.00044497887480413924,0.15442987389236917,10410249.0,8312.0,372899.0,102.0,1021700.0,0.0,14488.0,0.0
2,0.15405274734242272,0.00044075331511903503,0.15449350014442706,10410248.0,8313.0,372900.0,101.0,1021700.0,0.0,14488.0,0.0
3,0.1540187961272611,0.00047962150110556336,0.15449841821011695,10410249.0,8312.0,372899.0,102.0,1021700.0,0.0,14488.0,0.0
4,0.15403395595441338,0.00040762376331175253,0.15444158006260414,10410248.0,8313.0,372900.0,101.0,1021700.0,0.0,14488.0,0.0
5,0.15419031042634077,0.0004020942160447012,0.15459240472498742,10410247.0,8314.0,372901.0,100.0,1021700.0,0.0,14488.0,0.0
6,0.15396202634309084,0.0004010157151887982,0.1543630413881695,10410249.0,8312.0,372899.0,102.0,1021700.0,0.0,14488.0,0.0
7,0.15407111137422896,0.0004014040219140355,0.15447251544198917,10410249.0,8312.0,372899.0,102.0,1021700.0,0.0,14488.0,0.0
8,0.15394896541842978,0.0003955246203354242,0.15434449001122977,10410248.0,8313.0,372900.0,101.0,1021700.0,0.0,14488.0,0.0
9,0.15394197563633663,0.0003987384283691131,0.15434071432998162,10410247.0,8314.0,372901.0,100.0,1021700.0,0.0,14488.0,0.0
10,0.15416103999578315,0.0003990632841255354,0.15456010389874,10410248.0,8313.0,372900.0,101.0,1021700.0,0.0,14488.0,0.0
11,0.15391891933124485,0.00039413657684742476,0.15431305561356873,10410247.0,8314.0,372901.0,100.0,1021700.0,0.0,14488.0,0.0
